"","ქვეყანა","","2019","2020","2021","2022","2023","2024","2025","","","","","","","","","","","","","","","",""
"შვეიცარია","შვეიცარია","","10,175","912","2,146","4,662","6,061","7,170","9,706","","","","","","","","","","","","","","","",""
"თურქეთი","თურქეთი","","1,156,513","335,580","326,494","925,561","1,396,660","1,336,834","1,248,881","","","","","","","","","","","","","","","",""
"ისრაელი","ისრაელი","","205,051","25,731","100,686","210,178","217,065","310,982","402,426","","","","","","","","","","","","","","","",""
"კვიპროსი","კვიპროსი","","2,262","367","519","1,628","3,430","5,213","7,323","","","","","","","","","","","","","","","",""
"ანგილია","ანგილია","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"ანტიგუა და ბარბუდა","ანტიგუა და ბარბუდა","","31","8","22","53","59","76","73","","","","","","","","","","","","","","","",""
"ბარბადოსი","ბარბადოსი","","3","2","1","8","6","7","10","","","","","","","","","","","","","","","",""
"ბაჰამები","ბაჰამის კუნძულები","","5","1","2","6","12","15","17","","","","","","","","","","","","","","","",""
"გრენადა","გრენადა","","4","0","14","29","30","91","77","","","","","","","","","","","","","","","",""
"დომინიკა","დომინიკა","","99","17","131","165","282","366","443","","","","","","","","","","","","","","","",""
"დომინიკის რესპუბლიკა","დომინიკის რესპუბლიკა","","65","19","40","79","75","113","120","","","","","","","","","","","","","","","",""
"ვირჯინიის კუნძულები, ა.შ.შ.","ვირჯინიის კუნძულები, ა.შ.შ.","","0","0","0","0","0","0","1","","","","","","","","","","","","","","","",""
"ვირჯინიის კუნძულები, დიდი ბრიტანეთი","ვირჯინიის კუნძულები, დიდი ბრიტანეთი","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"იამაიკა","იამაიკა","","36","6","8","34","50","51","41","","","","","","","","","","","","","","","",""
"კაიმანის კუნძულები","კაიმანის კუნძულები","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"კუბა","კუბა","","95","22","55","105","157","158","155","","","","","","","","","","","","","","","",""
"","ნიდერლანდის ანტილები","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"პუერტო-რიკო","პუერტო-რიკო","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"სენტ ვინსენტი და გრენადინები","სენტ ვინსენტი და გრენადინები","","1","0","1","15","6","5","2","","","","","","","","","","","","","","","",""
"სენტ კრისტოფერი და ნევის","სენტ კრისტოფერი და ნევის","","68","13","77","149","234","310","326","","","","","","","","","","","","","","","",""
"სენტ ლუსია","სენტ-ლუსია","","1","0","6","13","25","28","46","","","","","","","","","","","","","","","",""
"ტერქსისა და კაიკოსის კუნძულები","ტერქსისა და კაიკოსის კუნძულები","","14","5","2","1","0","0","0","","","","","","","","","","","","","","","",""
"ტრინიდადი და ტობაგო","ტრინიდადი და ტობაგო","","42","4","16","29","35","42","28","","","","","","","","","","","","","","","",""
"ჰაიტი","ჰაიტი","","10","5","3","18","19","22","7","","","","","","","","","","","","","","","",""
"ბელიზი","ბელიზი","","14","4","5","9","13","21","19","","","","","","","","","","","","","","","",""
"გვატემალა","გვატემალა","","46","11","9","31","38","68","58","","","","","","","","","","","","","","","",""
"კოსტა-რიკა","კოსტა-რიკა","","141","25","23","85","156","265","288","","","","","","","","","","","","","","","",""
"ნიკარაგუა","ნიკარაგუა","","6","2","2","8","6","10","7","","","","","","","","","","","","","","","",""
"პანამა","პანამა","","82","10","25","56","57","70","115","","","","","","","","","","","","","","","",""
"ელ სალვადორი","სალვადორი","","49","15","29","30","42","75","75","","","","","","","","","","","","","","","",""
"ჰონდურასი","ჰონდურასი","","38","10","12","26","57","49","57","","","","","","","","","","","","","","","",""
"აშშ","ამერიკის შეერთებული შტატები","","46,558","7,384","19,470","35,319","46,735","51,728","56,455","","","","","","","","","","","","","","","",""
"კანადა","კანადა","","7,870","963","2,404","5,000","7,457","8,596","9,670","","","","","","","","","","","","","","","",""
"მექსიკა","მექსიკა","","1,040","165","353","600","1,014","1,268","1,688","","","","","","","","","","","","","","","",""
"არგენტინა","არგენტინა","","817","146","181","585","751","1,023","1,238","","","","","","","","","","","","","","","",""
"ბოლივია","ბოლივია","","48","17","17","32","45","74","72","","","","","","","","","","","","","","","",""
"ბრაზილია","ბრაზილია","","2,750","422","671","1,522","2,293","3,165","3,963","","","","","","","","","","","","","","","",""
"გაიანა","გაიანა","","2","2","1","1","2","13","11","","","","","","","","","","","","","","","",""
"ეკვადორი","ეკვადორი","","163","37","65","151","280","438","405","","","","","","","","","","","","","","","",""
"ვენესუელა","ვენესუელა","","97","23","70","76","174","200","172","","","","","","","","","","","","","","","",""
"კოლომბია","კოლუმბია","","784","175","282","700","802","1,075","1,392","","","","","","","","","","","","","","","",""
"პარაგვაი","პარაგვაი","","22","8","12","19","39","79","39","","","","","","","","","","","","","","","",""
"პერუ","პერუ","","164","56","110","144","181","259","352","","","","","","","","","","","","","","","",""
"ფრანგული გაიანა","საფრანგეთის გვიანა","","1","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"სურინამი","სურინამი","","7","1","3","3","10","4","4","","","","","","","","","","","","","","","",""
"ურუგვაი","ურუგვაი","","142","12","27","89","99","131","165","","","","","","","","","","","","","","","",""
"ჩილე","ჩილე","","323","48","93","196","295","375","452","","","","","","","","","","","","","","","",""
"იაპონია","იაპონია","","9,413","1,101","547","1,911","4,191","6,337","9,474","","","","","","","","","","","","","","","",""
"სამხრეთ კორეა","კორეის რესპუბლიკა","","16,642","1,099","908","5,112","14,878","26,687","31,785","","","","","","","","","","","","","","","",""
"მონღოლეთი","მონღოლეთი","","380","16","70","567","417","495","737","","","","","","","","","","","","","","","",""
"ტაივანი, ჩინეთის პროვინცია","ტაივანი (ჩინეთის პროვინცია)","","29","3","94","214","804","48","2","","","","","","","","","","","","","","","",""
"ჩინეთი","ჩინეთი","","48,071","4,363","3,468","7,380","48,304","88,583","127,895","","","","","","","","","","","","","","","",""
"ჩრდილოეთ კორეა","ჩრდილოეთ კორეა","","36","1","0","0","0","0","0","","","","","","","","","","","","","","","",""
"ჰონგ-კონგი","ჰონგკონგი, ჩინეთის სახალხო რესპუბლიკა","","84","9","1","3","8","6","7","","","","","","","","","","","","","","","",""
"ავსტრალია","ავსტრალია","","8,808","771","967","3,726","6,057","7,655","9,168","","","","","","","","","","","","","","","",""
"ამერიკის სამოა","ამერიკის სამოა","","0","0","1","0","0","0","0","","","","","","","","","","","","","","","",""
"ახალი ზელანდია","ახალი ზელანდია","","1,555","175","296","764","1,107","1,400","1,610","","","","","","","","","","","","","","","",""
"ვანუატუ","ვანუატუ","","5","0","39","80","48","76","75","","","","","","","","","","","","","","","",""
"ველისი და ფუტუნა","ველისი და ფუტუნა","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"მარშალის კუნძულები","მარშალის კუნძულები","","1","0","1","4","1","4","0","","","","","","","","","","","","","","","",""
"ნაურუ","ნაურუ","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"პალაუ","პალაუ","","0","0","0","0","2","4","0","","","","","","","","","","","","","","","",""
"პაპუა ახალი გვინეა","პაპუა ახალი გვინეა","","6","0","3","0","3","5","1","","","","","","","","","","","","","","","",""
"სამოა","სამოა","","0","0","1","4","4","9","1","","","","","","","","","","","","","","","",""
"საფრანგეთის პოლინეზია","საფრანგეთის პოლინეზია","","0","0","1","0","1","0","0","","","","","","","","","","","","","","","",""
"სოლომონის კუნძულები","სოლომონის კუნძულები","","1","0","0","2","0","3","0","","","","","","","","","","","","","","","",""
"ტონგა","ტონგა","","2","0","1","2","5","26","2","","","","","","","","","","","","","","","",""
"ტუვალუ","ტუვალუ","","6","0","0","0","1","3","0","","","","","","","","","","","","","","","",""
"ფიჯი","ფიჯი","","18","3","21","24","28","108","43","","","","","","","","","","","","","","","",""
"ავღანეთი","ავღანეთი","","323","92","658","537","408","514","423","","","","","","","","","","","","","","","",""
"ბანგლადეში","ბანგლადეში","","704","192","675","1,301","1,984","2,297","1,470","","","","","","","","","","","","","","","",""
"ბუტანი","ბუტანი","","36","10","30","43","66","76","87","","","","","","","","","","","","","","","",""
"ინდოეთი","ინდოეთი","","54,606","8,364","24,992","52,841","84,688","124,335","142,476","","","","","","","","","","","","","","","",""
"ირანი","ირანი","","141,997","17,053","18,549","102,877","126,282","145,670","120,068","","","","","","","","","","","","","","","",""
"მალდივები","მალდივი","","47","6","41","158","114","215","161","","","","","","","","","","","","","","","",""
"ნეპალი","ნეპალი","","742","178","391","750","1,203","1,911","1,547","","","","","","","","","","","","","","","",""
"პაკისტანი","პაკისტანი","","8,025","1,338","5,163","9,343","13,079","16,709","9,638","","","","","","","","","","","","","","","",""
"შრი-ლანკა","შრი-ლანკა","","1,872","421","1,162","2,324","2,983","3,522","2,834","","","","","","","","","","","","","","","",""
"ბრუნეი","ბრუნეი დარუსალამი","","29","2","3","7","20","33","30","","","","","","","","","","","","","","","",""
"ვიეტნამი","ვიეტნამი","","457","73","115","323","727","912","1,289","","","","","","","","","","","","","","","",""
"ინდონეზია","ინდონეზია","","1,524","237","395","1,131","1,698","2,253","3,018","","","","","","","","","","","","","","","",""
"კამბოჯა","კამბოჯა","","33","8","47","59","61","61","41","","","","","","","","","","","","","","","",""
"ლაოსი","ლაოსი","","12","6","9","13","37","76","16","","","","","","","","","","","","","","","",""
"მალაიზია","მალაიზია","","2,903","265","387","1,689","4,159","4,144","5,022","","","","","","","","","","","","","","","",""
"მიანმარი","მიანმარი","","216","116","104","321","503","791","435","","","","","","","","","","","","","","","",""
"სინგაპური","სინგაპური","","2,020","132","173","659","1,360","2,150","2,688","","","","","","","","","","","","","","","",""
"ტაილანდი","ტაილანდი","","12,320","3,372","570","19,276","18,066","17,380","14,146","","","","","","","","","","","","","","","",""
"ფილიპინები","ფილიპინები","","24,749","6,667","13,597","22,267","31,467","32,678","26,548","","","","","","","","","","","","","","","",""
"არაბთა გაერთიანებული საამიროები","არაბთა გაერთიანებული საემიროები","","10,483","1,358","6,976","13,146","15,635","14,889","14,997","","","","","","","","","","","","","","","",""
"ბაჰრეინი","ბაჰრეინი","","3,981","382","1,015","2,103","2,229","3,750","3,725","","","","","","","","","","","","","","","",""
"ეგვიპტე","ეგვიპტე","","8,525","1,766","5,282","8,806","10,637","12,993","13,240","","","","","","","","","","","","","","","",""
"ერაყი","ერაყი","","1,684","285","842","1,585","6,478","8,103","7,663","","","","","","","","","","","","","","","",""
"იემენი","იემენი","","1,601","261","2,477","3,911","4,202","4,676","3,436","","","","","","","","","","","","","","","",""
"იორდანია","იორდანია","","15,942","1,928","8,080","22,239","24,795","26,488","39,289","","","","","","","","","","","","","","","",""
"კატარი","კატარი","","3,525","485","1,442","1,839","1,705","1,914","2,003","","","","","","","","","","","","","","","",""
"ლიბანი","ლიბანი","","9,644","1,394","5,453","6,942","9,222","11,627","13,329","","","","","","","","","","","","","","","",""
"ლიბია","ლიბია","","94","9","65","90","116","128","117","","","","","","","","","","","","","","","",""
"ომანი","ომანი","","3,452","361","854","2,484","2,532","4,611","4,964","","","","","","","","","","","","","","","",""
"საუდის არაბეთი","საუდის არაბეთი","","75,155","4,960","63,437","119,921","72,953","88,298","96,340","","","","","","","","","","","","","","","",""
"სირია","სირია","","1,384","349","4,827","6,020","7,746","11,840","7,509","","","","","","","","","","","","","","","",""
"ქუვეითი","ქუვეითი","","20,118","3,330","12,600","17,187","19,644","27,277","23,484","","","","","","","","","","","","","","","",""
"ბურუნდი","ბურუნდი","","22","0","5","3","5","10","19","","","","","","","","","","","","","","","",""
"ეთიოპია","ეთიოპია","","202","32","117","245","354","491","445","","","","","","","","","","","","","","","",""
"ერიტრეა","ერიტრეა","","103","17","117","199","223","233","140","","","","","","","","","","","","","","","",""
"ზამბია","ზამბია","","11","5","8","31","52","26","51","","","","","","","","","","","","","","","",""
"ზიმბაბვე","ზიმბაბვე","","109","31","81","138","207","280","223","","","","","","","","","","","","","","","",""
"კენია","კენია","","331","62","205","468","605","733","634","","","","","","","","","","","","","","","",""
"კომორის კუნძულები","კომორის კუნძულები","","525","85","214","365","537","490","486","","","","","","","","","","","","","","","",""
"მადაგასკარი","მადაგასკარი","","20","2","11","8","19","32","30","","","","","","","","","","","","","","","",""
"მავრიკი","მავრიკი","","107","30","75","97","129","146","125","","","","","","","","","","","","","","","",""
"მაიოტა","მაიოტა","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"მალავი","მალავი","","11","5","2","16","15","23","10","","","","","","","","","","","","","","","",""
"მოზამბიკი","მოზამბიკი","","17","2","6","18","18","17","9","","","","","","","","","","","","","","","",""
"რეუნიონი","რეუნიონი","","3","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"რუანდა","რუანდა","","13","2","11","17","42","38","34","","","","","","","","","","","","","","","",""
"სეიშელის კუნძულები","სეიშელის კუნძულები","","18","7","4","15","17","26","27","","","","","","","","","","","","","","","",""
"სომალი","სომალი","","229","30","179","313","319","298","199","","","","","","","","","","","","","","","",""
"ტანზანია","ტანზანია","","75","17","32","67","102","144","79","","","","","","","","","","","","","","","",""
"უგანდა","უგანდა","","99","19","61","136","175","277","154","","","","","","","","","","","","","","","",""
"ჯიბუტი","ჯიბუტი","","10","2","15","18","26","20","19","","","","","","","","","","","","","","","",""
"ბენინი","ბენინი","","7","1","3","15","19","12","18","","","","","","","","","","","","","","","",""
"ბურკინა-ფასო","ბურკინა-ფასო","","13","6","7","9","13","11","13","","","","","","","","","","","","","","","",""
"გამბია","გამბია","","14","3","6","12","12","23","22","","","","","","","","","","","","","","","",""
"განა","განა","","93","25","43","118","193","293","175","","","","","","","","","","","","","","","",""
"გვინეა","გვინეა","","7","4","5","13","15","18","10","","","","","","","","","","","","","","","",""
"გვინეა-ბისაუ","გვინეა-ბისაუ","","2","0","6","2","10","10","3","","","","","","","","","","","","","","","",""
"კაბო-ვერდე","კაბო-ვერდე","","5","8","1","2","3","8","13","","","","","","","","","","","","","","","",""
"კოტ-დივუარი","კოტ-დივუარი","","20","4","15","13","38","35","36","","","","","","","","","","","","","","","",""
"ლიბერია","ლიბერია","","13","11","2","7","7","4","12","","","","","","","","","","","","","","","",""
"მავრიტანია","მავრიტანია","","33","7","28","73","56","62","66","","","","","","","","","","","","","","","",""
"მალი","მალი","","24","7","18","23","28","51","56","","","","","","","","","","","","","","","",""
"ნიგერი","ნიგერი","","16","3","7","12","20","15","21","","","","","","","","","","","","","","","",""
"ნიგერია","ნიგერია","","840","256","1,039","1,142","832","854","927","","","","","","","","","","","","","","","",""
"სენეგალი","სენეგალი","","29","6","11","16","25","38","32","","","","","","","","","","","","","","","",""
"სიერა-ლეონე","სიერა-ლეონე","","8","4","3","7","17","9","25","","","","","","","","","","","","","","","",""
"ტოგო","ტოგო","","10","2","10","7","4","12","10","","","","","","","","","","","","","","","",""
"ბოტსვანა","ბოტსვანა","","35","3","6","18","23","21","22","","","","","","","","","","","","","","","",""
"ლესოტო","ლესოტო","","3","0","0","0","3","4","1","","","","","","","","","","","","","","","",""
"ნამიბია","ნამიბია","","16","3","23","28","18","34","22","","","","","","","","","","","","","","","",""
"სამხრეთ აფრიკა","სამხრეთ აფრიკა","","3,150","708","1,684","2,386","3,168","3,407","3,667","","","","","","","","","","","","","","","",""
"სვაზილენდი","სვაზილენდი","","4","0","7","4","5","3","4","","","","","","","","","","","","","","","",""
"ალჟირი","ალჟირი","","377","95","530","490","838","1,061","1,242","","","","","","","","","","","","","","","",""
"მაროკო","მაროკო","","814","227","694","1,142","1,512","1,926","1,626","","","","","","","","","","","","","","","",""
"სუდანი","სუდანი","","1,138","187","1,222","2,614","3,834","5,393","3,792","","","","","","","","","","","","","","","",""
"ტუნისი","ტუნისი","","613","164","463","774","1,184","1,369","1,344","","","","","","","","","","","","","","","",""
"ანგოლა","ანგოლა","","9","1","7","29","25","31","67","","","","","","","","","","","","","","","",""
"გაბონი","გაბონი","","9","3","5","11","10","9","4","","","","","","","","","","","","","","","",""
"კამერუნი","კამერუნი","","106","48","57","106","149","176","172","","","","","","","","","","","","","","","",""
"კონგო","კონგო","","30","8","10","23","43","34","13","","","","","","","","","","","","","","","",""
"სან-ტომე და პრინსიპი","სან-ტომე და პრინსიპი","","11","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
"ჩადი","ჩადი","","29","5","5","35","47","48","68","","","","","","","","","","","","","","","",""
"ცენტრალური აფრიკის რესპუბლიკა","ცენტრალური აფრიკის რესპუბლიკა","","0","1","3","2","9","5","2","","","","","","","","","","","","","","","",""
"","გაერო","","102","27","41","138","470","452","399","","","","","","","","","","","","","","","",""
"","საქართველო (არარეზიდენტი)","","488,841","140,351","151,559","295,377","365,661","398,899","426,914","","","","","","","","","","","","","","","",""
"","სხვა","","6,693","1,233","2,187","4,906","5,515","6,216","8,579","","","","","","","","","","","","","","","",""
