კოდი,შემოკლებული დასახელება
2105,ნაყინი და ყინული
2106,კვების პროდუქტები
2201,მინერალური და მტკნარი წყლები
2202,უალკოჰოლო გაზიანი სასმელები
2203,ლუდი
2204,ღვინო
2205,ვერმუტები
2206,დადუღებული სასმელები
2207,სპირტი
2208,ალკოჰოლური სასმელები
2209,ძმარი
2301,თევზის ან კიბოსნაირების ფქვილი
2302,ქატო
2303,სახამებლისა ნარჩენები
2304,სოიოს ზეთის ნარჩენები
2305,მიწის თხილის ზეთის მყარი ნარჩენები
2306,მცენარეული ცხიმების ნარჩენები
2307,ღვინის დანალექი
2308,ცხოველების მცენარეული საკვები
2309,ცხოველების საკვები პროდუქტები
2401,თამბაქოს ნედლეული
2402,მზა თამბაქო
2403,სამრეწველო თამბაქო
2404,თამბაქოს შემცვლელების შემცველობითი პროდუქტები
2501,მარილი
2502,გამოუწვავი პირიტი
2503,გოგირდი
2504,ბუნებრივი გრაფიტი
2505,ქვიშა
2506,კვარცი
2507,კაოლინური თიხები
2508,თიხები
2509,ცარცი
2510,კალციუმის ფოსფატები
2511,ბარიუმის სულფატი და კარბონატი
2512,ინფუზორული მიწები 
2513,აბრაზიული მასალები
2514,ფიქალი
2515,მარმარილო და კირქვები
2516,ბუნებრივი ქვები
2517,დამსხვრეული ქვა
2518,დოლიმიტი
2519,ბუნებრივი მაგნიუმის კარბონატი
2520,"თაბაშირი, ანჰიდრიტი, ბათქაში"
2521,კიროვანი ქვა
2522,ჩაუმქრალი კირი
2523,ცემენტი
2524,აზბესტი
2525,ქარსი
2526, ბუნებრივი სტეატიტი; ტალკიტალკი
2528,ბუნებრივი ბორატები
2529,მინდვრის შპატი და ლეიციტი
2530,მინერალური ნითიერებები
2601,რკინის მადნები და კონცენტრატები
2602,მანგანუმის მადნები და კონცენტრატები
2603,სპილენძის მადნები და კონცენტრატები
2604,ნიკელის მადნები და კონცენტრატები
2605,კობალტის მადნები და კონცენტრატები
2606,ალუმინის მადნები და კონცენტრატები
2607,ტყვიის მადნები და კონცენტრატები
2608,თუთიის მადნები და კონცენტრატები
2609,კალის მადნები და კონცენტრატები
2610,ქრომის მადნები და კონცენტრატები
2611,ვოლფრამის მადნები და კონცენტრატები
2612,ურანის მადნები და კონცენტრატები
2613,მოლიბდენის მადნები და კონცენტრატები
2614,ტიტანის მადნები და კონცენტრატები
2615,ცირკონიუმის მადნები და კონცენტრატები
2616,ძვირფასი ლითონების მადნები და კონცენტრატები
2617,მადნები და კონცენტრატები
2618,შავი ლითონის წიდა
2619,შავი ლითონის ნარჩენები
2620,ლითონის შემცველი ნარჩენები
2621,ნაცარი
2701,ქვანახშირის საწვავი
2702,ლიგნიტი
2703,ტორფი
2704,კოქსი
2705,აირები
2706,მინერალური ფისები
2707,ქვანახშირის ფისების ზეთი
2708,სქელფისი
2709,ნედლი ნავთობი
2710,ნავთობი
2711,ნავთობის აირები
2712,"ნავთობის ვაზელინი, პარაფინი და ცვილი"
2713,ნავთობის კოქსი და ბიტუმი
2714,ბიტუმი და ასფალტი
2715,ბუნებრივი ასფალტი
2716,ელექტროენერგია
2801,"ფთორი, ქლორი, ბრომი და იოდი"
2802,სუბლიმირებული გოგირდი
2803,ნახშირბადი
2804,"წყალბადი, ინერტული აირები"
2805,ტუტემიწა ლითონები
2806,წყალბადის ქლორიდი
2807,"გოგირდმჟავა, ოლეუმი"
2808,აზოტმჟავები
2809,"ფოსფორის ოქსიდი, ფოსფორმჟავა"
2810,ბორის ოქსიდები და მჟავები
2811,არაორგანული მჟავები
2812,არალითონების ჰალოგენიდები და ჰალოგენიდოქსიდები 
2813,არალითონების სულფიდები
2814,ამიაკი
2815,ნატრიუმის ან კალიუმის ოქსიდები
2816,"მაგნიუმის, სტრონციუმის და ბარიუმის ოქსიდები"
2817,თუთიის ოქსიდი
2818,ალუმინის ოქსიდები
2819,ქრომის ოქსიდები
2820,მანგანუმის ოქსიდები
2821,რკინის ოქსიდები
2822,კობალტის ოქსიდები
2823,ტიტანის ოქსიდები
2824,ტყვიის ოქსიდები
2825,ჰიდრაზინი და ჰიდროქსილამინი
2826,ფთორიდების და ფთორის მარილები
2827,"ქლორიდები, ოქსიქლორიდები და ჰიდროქსიდქლორიდები"
2828,"ჰიპოქლორიტები, ტექნიკური, ქლორიტები, ჰიპობრომიტები"
2829,"ქლორატები და პერქლორატები, ბრომატები და პერბრომატები"
2830,სულფიდები
2831,დიტიონიტები და სულფოქსილატები
2832,სულფიტები; თიოსულფატები
2833,"სულფატები, შაბები"
2834,ნიტრიტები და ნიტრატები
2835,ფოსფატები
2836,"კარბონატები, პეროქსოკარბონატები "
2837,ციანიდები
2839,სილიკატები
2840,ბორატები
2841,ოქსოლითონური და პეროქსოლითონური მჟავების მარილები
2842,არაორგანული მჟავების მარილები
2843,ძვირფასი ლითონები კოლოიდურ მდგომარეობაში
2844,ქიმიური რადიოაქტიური ელემენტები
2845,იზოტოპები
2846,იშვიათმიწიანი ლითონების ნაერთები
2847,წყალბადის პეროქსიდი
2848,ფოსფიდები
2849,კარბიდები
2850,"ჰიდრიდები, ნიტრიდები,სილიციდები და ბორიდები"
2852,ვერცხლისწყლის ნაერთები
2853,არაორგანული ნაერთები
2901,აციკლური ნახშირწყალბადები
2902,ციკლური ნახშირწყალბადები
2903,ჰალოგენირებული ნახშირწყალბადები
2904,სულფირებული ნახშირწყალბადები
2905,აციკლური სპირტები
2906,ციკლური სპირტები
2907,ფენოლები და ფენოლსპირტები
2908,ჰალოგენირებული და სულფინებული ფენოლები
2909,ეთერები
2910,ეპოქსიდები
2911,აცეტალები და ნახევრადაცეტალები
2912,ჟანგბადშემცველები
2913,ალდეჰიდების ნაერთები
2914,კეტონები და ქინონები
2915,აციკლური მონოკარბონული ნაჯერი მჟავები
2916,აციკლური მჟავები
2917,პოლიკარბონმჟავები
2918,კარბონმჟავები
2919,ფოსფორმჟავას რთული ეთერები
2920,არაორგანული მჟავების რთული ეთერები
2921,ამინის ნაერთერთები ფუნქციონალურ ჯგუფებთან
2922,ამინონაერთები
2923,ამონიუმის მარილები და ჰიდროქსიდები
2924,ფუნქციონალური ნაერთები
2925,კარბოქსიმიდული ნაერთები
2926,ნიტრილური ნაერთები
2927,"დიაზო-, აზო- ან აზოქსის ნაერთები"
2928,ჰიდრაზინის ან ჰიდროქსილამინის წარმოებულები
2929,აზოტშემცველი ნაერთები
2930,გოგირდორგანული ნაერთები
2931,ორგანულ-არაორგანული ნაერთები
2932,"ჰეტეროციკლური, ჟანგბადის ჰეტეროატომისების ნაერთები"
2933,"ჰეტეროციკლური, აზოტის ჰეტეროატომისების ნაერთები"
2934,ნუკლეინის მჟავები და მათი მარილები
2935,სულფონამიდები
2936,ვიტამინები
2937,ჰორმონები
2938,"გლიკოზიდები, ეთერები და მარილები"
2939,მცენარეული წარმოშობის ალკალოიდები
2940,ქიმიურად სუფთა შაქრები
2941,ანტიბიოტიკები
2942,ორგანული ნაერთები
3001,ორგანოთერაპიისათვის განკუთვნილი ორგანოები
3002,სამედიცინო მიზნებისთვის განკუთვნილი სისხლი
3003,დაუფასოებელი სამკურნალო საშუალებები
3004,დაფასოებული სამკურნალო საშუალებები
3005,"ბინტები, ბამბა, მარლა"
3006,ფარმაცევტული პროდუქცია
3101,ცხოველური ან მცენარეული სასუქები
3102,აზოტოვანი სასუქები
3103,ფოსფორიოვნი სასუქები
3104,კალიუმიანი სასუქები 
3105,"აზოტის, ფოსფორის და კალიუმის სასუქები"
3201,სათრიმლავი მცენარეული ექსტრაქტები
3202,სათრიმლავი ნივთიერებები
3203,მცენარეული ან ცხოველური საღებარი ნივთიერებები
3204,სინთეზური საღებარი ნივთიერებები
3205,ფერადი ლაქები
3206,საღებარი ნივთიერებები
3207,"მზა პიგმენტები, მინისებრი მინანქრები და ჭიქურები"
3208,სინთეზური პოლიმერების საღებავები და ლაქები
3209,ბუნებრივი პოლიმერების საღებავები და ლაქები
3210,საღებავები და ლაქები
3211,მზა სიკატივები
3212,პიგმენტები
3213,სამხატვრო საღებავები
3214,"მინის, საბაღე საგოზავები"
3215,მენლები და სასტამბო საღებავები
3301,ეთერზეთები
3302,ნარევები სასმელების წარმოებისთვის
3303,სუნამოები
3304,კანის მოვლის საშუალებები
3305,თმის მოვლის საშუალებები
3306,პირის ღრუს ჰიგიენური საშუალებები
3307,დეზოდორანტები და საპარსი
3401,საპონი
3402,ზედაპირულად აქტიური ორგანული ნივთიერებები
3403,საპოხი მასალა
3404,ხელოვნური და მზა ცვილები
3405,ფეხსაცმელის საცხები
3406,სანთლები
3407,ძერწვის პასტები
3501,კაზეინი 
3502,ალბუმინები
3503,ჟელატინი
3504,პეპტონები
3505,მოდიფიცირებული სახამებლები
3506,მზა წებოები
3507,ფერმენტები და ფერმენტული პრეპარატები
3601,დენთი
3602,"მზა ასაფეთქებელი ნივთიერებები, გარდა დენთისა"
3603,ბიკფორდის და სადეტონაციო ზონრები
3604,ფოიერვერკები
3605,ასანთი
3606,პიროფორული შენადნობები
3701,ფოტოფირფიტები და ბრტყელი ფოტოფირები
3702,ფოტოფირები რულონებად
3703,ფოტოგრაფიული ქაღალდი და საფეიქრო მასალა
3704,ექსპონირებული ფოტოგრაფიული ფირები
3705,ფოტოფირფიტები და ფოტოფირები
3706,ექსპონირებული და გამჟღავნებული კინოფირი
3707,ფოტოქიმიკატები
3801,გრაფიტი
3802,გააქტიურებული ნახშირი
3803,ტალიუმის ზეთი
3804,მერქნის ცელულოზის თუთქი
3805,სკიპიდარი
3806,კანიფოლი და ფისოვანი მჟავები
3807,მერქნის კუპრის ზეთები
3808,მცენარეთა საწინააღმდეგო საშუალებები
3809,ღებვის დამაჩქარებელი საშუალებები
3810,ლითონის ზედაპირის ამოსაჭმელი პრეპარატები
3811,ანტიდეტონატორები და ანტიოქსიდანტები
3812,კაუჩუკის ვულკანიზაციის დამაჩქარებლები
3813,ცეცხლსაქრობების მუხტი
3814,რთული ორგანული გამხსნელები
3815,რეაქციების კატალიზატორები
3816,"ცეცხლგამძლე ცემენტები, ბეტონი"
3817,ალკილბენზოლები და ალკილნაფტალინები
3818,ლეგირებული ქიმიური ელემენტები
3819,სამუხრუჭე სითხეები
3820,ანტიფრიზები
3821,კულტურალური გარემოები მიკროორგანიზმების გამოსაყვანად
3822,დიაგნოსტიკური ან ლაბორატორიული რეაგენტები
3823,სამრეწველო მონოკარბონული ცხიმმჟავები
3824,ნივთიერებები სამსხმელო ფორმებისთვის
3825,ქიმიური მრეწველობის ნარჩენი პროდუქტები
3826,ბიოდიზელი 
3901,პირველადი ეთილენის პოლიმერები
3902,ოლეფინების პოლიმერები
3903,პირველადი სტიროლის პოლიმერები
3904,ჰალოგინირებული ოლეფინების პოლიმერები
3905,რთული ვანილის ეთერების პოლიმერები
3906,პირველადი ფორმის აკრილის პოლიმერები
3907,"პოლიაცეტალები, მარტივი პოლიეთერები"
3908,პირველადი ფორმის პოლიამიდები
3909,პირველადი ფორმის ამინოფისები და ფენოლის ფისები 
3910,პირველადი სილიკონები
3911,"ნავთობის, კუმარონ-ინდენის ფისები და პოლიტერპენები"
3912,პირველადი ცელულოზა 
3913,პოლიმერები
3914,პოლიმერების იონმიმოცვლითი ფისები
