კოდი,შემოკლებული დასახელება
6107,კაცის ტრიკოტაჟის საცვლები 
6108,ქალი ტრიკოტაჟის საცხვლები
6109,ტრიკოტაჟის მაისურები
6110,ტრიკოტაჟის სვიტრები
6111,საბავშვო ტრიკოტაჟის ტანსაცმელი 
6112,ნაქსოვი ტრიკოტაჟის სპორტული კოსტუმები
6113,ტრიკოტაჟის ტანსაცმელი
6114,ნაქსოვი ტრიკოტაჟის ტანსაცმელი 
6115,წინდის ნაწარმი
6116,ხელთათმანები
6117,ტანსაცმლის საკუთნოები
6201,კაცის პალტოები 
6202,ქალის პალტოები 
6203,კაცის კოსტუმები
6204,"ქალის კოსტუმები, კომპლექტები,  შორტები "
6205,კაცის პერანგები 
6206,ქალის ბლუზები 
6207,კაცის მაისურები და თბილი ზედები 
6208,ქალის მაისურები და თბილი ზედები 
6209,საბავშვო ტანსაცმელი
6210,სხვა ტანსაცმელი
6211,სპორტული კოსტუმები
6212,"ტრიკოტაჟის ბიუსტჰალტერები, ქამრები"
6213,ცხვირსახოცები
6214,შარფები და მსგავსი
6215,ჰალსტუხები და მსგავსი
6216,ხელთათმანები და მსგავსი
6217,ტანსაცმლის საკუთნოები
6301,საბნები
6302,თეთრეული
6303,ფარდები
6304,დეკორატიული ნაწარმი
6305,შესაფუთი პაკეტები
6306,მზისაგან დასაცავი შტორები და სხვა
6307,მზა ნაწარმი
6308,ხელსაქმის ნაკრებები
6309,ნახმარი ტექსტილის ნაწარმი
6310,ძონძები ნახმარი და ახალი
6401,წყალგაუმტარი ფეხსაცმელი
6402,ფეხსაცმელი რეზინის ან პოლიმერული 
6403,"ფეხსაცმელი რეზინის ან პოლიმერული, ტყავის ძირითა და ზედაპირით"
6404,ფეხსაცმელი ტყავის ძირითა და საფეიქრო მასალის ზედაპირით
6405,სხვა ფეხსაცმელი
6406,ფეხსაცმლის ნაწილები
6501,ქუდების ფორმები
6502,ქუდების ნახევარფაბრიკატები
6504,თავსაბურავები
6505,ტრიკოტაჟის თავსაბურავები
6506,სხვა თავსაბურავები
6507,შუასადებები
6601,ქოლგები
6602,"ხელჯოხები, შოლტები, მათრახები ცხენოსნობისათვის, მსგავსები"
6603,ქოლგების და ხელჯოხების მოსართავები
6701,ფრინველის ნაწილები
6702,ხელოვნური ყვავილები
6703,ადამიანის თმები
6704,პარიკები
6801,ბორდიურის ქვები და ფილები
6802,დამუშავებული ქვა 
6803,დამუშავებული ფიქალი 
6804,დოლაბები
6805,აბრაზიული ფქვილი
6806,სილიკატური ბამბა
6807,ასფალტის ნაწარმი
6808,მცენარეული ბოჭკოების ნაწარმი
6809,თაბაშირის ნაწარმი
6810,ცემენტის ნაწარმი
6811,აზბესტცემენტის ნაწარმი
6812,აზბესტის ნაწარმი
6813,ფრიქციული მასალები 
6814,დამუშავებული ქარსი 
6815,ქვის ნაწარმი
6901,"აგური, ბლოკები"
6902,ცეცცლგამძლე სამშენებლო მასალა
6903,ცეცხლგამძლე კერამიკა
6904,სამშენებლო ნაწარმი
6905,კერამიკის სამშენებლო დეტალები 
6906,მილები
6907,მოუჭიქურებელი კერამიკული ფილები
6908,მოჭიქურებული კერამიკული ფილები
6909,ლაბორატორიული კერამიკა 
6910,სანიტრულ-ტექნიკური ნაწარმი
6911,ფაიფურის ჭურჭელი
6912,კერამიკის ჭურჭელი
6913,კერამიკის დეკორაცია
6914,სხვა კერამიკა
7001,მინის ნარჩენები
7002,სფეროების ფორმის მინა 
7003,სხმული და ნაგლინი მინა 
7004,ნაჭიმი ან გამონაბერი მინა 
7005,გაპრიალებული მინა
7006,გრავირებული მინა
7007,უსაფრთხო მინა
7008,საიზოლაციო მინის ნაწარმი
7009,მინის სარკეები
7010,მინის ტევადობები
7011,მინის კოლბები
7013,მინის ჭურჭელი
7014,მინის ნაწარმი სიგნალიზაციისათვის 
7015,მინები საათებისთვის
7016,სხმული მინის ნაწარმი
7017,ლაბორატორიული ჭურჭელი მინის 
7018,მინის მძივი
7019,ბოჭკოვანი მინა
7020,სხვა მინის ნაწარმი
7101,მარგალიტი
7102,ალმასები
7103,ძვირფასი ქვები 
7104,"ძვირფასი, ხელოვნური ან სხვა ქვები "
7105,ძვირფასი ქვების ნაფხვენი
7106,ვერცხლი
7107,ვერცხლით მიტკეცილი ლითონები
7108,ოქრო
7109,ოქროთ მიტკეცილი ლითონები
7110,პლატინა
7111,ძვირფასი ლითონები
7112,ძვირფასი ლითონების ნარჩენები
7113,საიუვილერო ძვირფასი ლითონის ნაკეთობა
7114,ოქროს და ვერცხლის ოსტატების ნაკეთობები
7115,სხვა ნაკეთობები 
7116,ქვების ნაკეთობები
7117,ბიჟუტერია
7118,მონეტები
7201,გადასამუშავებელი თუჯი პირველად ფორმებში
7202,ფეროშენადნობები
7203,რკინის მადნის აღმდგენადები
7204,შავი ლითონის ჯართი
7205,გრანულები და ფხვნილები თუჯის
7206,ნახშირბადიანი ფოლადი
7207,ნახშირბადიანი ფოლადის ნახევარფაბრიკატები
7208,ბრტყელი ნახშირბადიანი ფოლადის ნაგლინი
7209, ნახშირბადიანი ფოლადის ნაგლინი ცივად
7210,ნაგლინი ნახშირბადიანი ფოლადისაგან 600მმ ≥
7211,მიუტკეცელი ნაგლინი ნახშირბადიანი ფოლადისგან
7212,ნაგლინი ნახშირბადიანი ფოლადისაგან მიტკეცილი
7213,დახვეული ნაგლინი ნახშირბადიანი ფოლადისაგან
7214,წნელები ნახშირბადიანი ფოლადისაგან
7215,წნელები სხვა ნახშირბადიანი ფოლადისაგან
7216,კუთხოვანები ნახშირბადიანი ფოლადისაგან
7217,მავთული ნახშირბადიანი ფოლადისაგან
7218,ფოლადი კოროზიამედეგი
7219,ბრტყელი კოროზიამედეგი 600მმ ≥
7220,ბრტყელი კოროზიამედეგი 600მმ <
7221,ბუხტებად დახვეული უჟანგავი წნელები
7222,სხვა წნელები
7223,მავთული კოროზიამედეგი
7224,ლეგირებული ფოლადი 
7225,ბრტყელი ნაგლინი  600მმ ≥
7226,ბრტყელი ნაგლინი  600მმ<
7227,ფოლადის ნაგლინის წნელები 
7228,ფოლადის ლეგირებული წნელი 
7229,ფოლადის ლეგირებული მავთული 
7301,შავი ლითონის ნარანდიანი კონსტრუქციები 
7302,შავი ლითონების სარკინიგზო ნაწარმი 
7303,თუჯის მილები
7304,შავი ლითონის მილები და პროფილები
7305,შავი ლითონების მილები
7306,შავი ლითონების მილები და პროფილები
7307,შავი ლითონების ფიტინგები
7308,შავი ლითონების მეტალოკონსტრუქციები
7309,შავი ლითონიების რეზერვუარები 
7310,შავი ლითონების ცისტერნები  
7311,შავი ლითონების ტევადობები 
7312,შავი ლითონების დაგრეხილი მავთული 
7313,შავი ლითონების ეკლიანი მავთული  
7314,შავი ლითონის ქსოვილი გისოსები 
7315,შავი ლითონების ჯაჭვები 
7316,შავი ლითონის ღუზები 
7317,შავი ლითონების ლურსმნები 
7318,შავი ლითონების ხრახნები 
7319,შავი ლითონის საკერავ-საქსოვი ნივთები 
7320,შავი ლითონების ზამბარები 
7321,ღუმელები
7322,რადიატორები
7323,შავი ლითონის სამზარეულოს ნაწარმი
7324,სანიტარულ-ტექნიკური მოწყობილობები 
7325,შავი ლითონის სხმულები 
7326,სხვა შავი ლითონების ნაწარმი
7401,სპილენძის შტეინი 
7402,არარაფინირებული სპილენძი 
7403,სპილენძი და შენადნობები
7404,სპილენძის ჯართი 
7405,სპილენძის ლიგატურა
7406,სპილენძის ფხვნილები 
7407,სპილენძის წნელები 
7408,სპილენძის მავთული 
7409,სპილენძის ფილები 
7410,სპილენძის კილიტა 
7411,სპილენძის მილები
7412,სპილენძის მილების ფიტინგები 
7413,სპილენძის დაგრეხილი მავთული 
7415,სპილენძის ან შავი ლითონის ლურსმნები 
7418,სპილენძის სამზარეულო ნაწილები 
7419,სხვა სპილენძის ნაწარმი
7501,ნიკელის შტეინი  
7502,დაუმუშავებელი ნიკელი
7503,ნიკელის ჯართი 
7504,ნიკელის ფხვნილები 
7505,ნიკელის წნელები
7506,ნიკელის ფილები 
7507,ნიკელის მილები 
7508,სხვა ნიკელის
7601,ალუმინი 
7602,ალუმინის ჯართი 
7603,ალუმინის ფხვნილი 
7604,ალუმინის წნელები 
7605,ალუმინის მავთული
7606,ალუმინის ფილები 
7607,ალუმინის კილიტა 
7608,ალუმინის მელები 
7609,ალუმინის ფიტინგები 
7610,ალუმინის ლითონკონსტრუქციები 
7611,ალუმინის რეზერვუარები 
7612,ალუმინის ცისტერნები 
7613,ალუმინის ტევადობები აირებისთვის
7614,ალუმინის დაგრეხილი მავთული 
7615,ალუმინის საყოფაცხოვრებო  ნივთები
7616,ალუმინის ნაწარმი
7801,დაუმუშავებელი ტყვია
7802,ტყვიის ჯართი 
7804,ტყვიის ფილები 
7806,ტყვიის ნაწარმი
7901,დაუმუშავებელი თუთია
7902,თუთიის ჯართი
7903,თუთიის ფხვნილი 
7904,თუთიის წნელები 
7905,თუთიის ფილები 
7907,თუთიის ნაწარმი
8001,დაუმუშავებელი კალა
8002,კალის ჯართი 
8003,კალის წნელები 
8007,კალის ნაკეთები
8101,ვოლფრამი
8102,მოლიბდენი
8103,ტანტალი
8104,მაგნიუმი
8105,კობალტის ნაწარმი
8106,ბისმუთი
8107,კადმიუმი
8108,ტიტანი
8109,ცირკონიუმი
8110,სტიბიუმი
8111,მანგანუმი
8112,"ბერილიუმი, ქრომი და სხვა"
8113,ლითონკერამიკა
8201,ხელის ინსტრუმენტები მეურნეობაში
8202,ხერხები
8203,ქლიბები და მსგავსი
8204,ქანჩის გასაღებები
8205,ხელის ინსტრუმენტები
8206,ინსტრუმენტები ნაკრებში საცალო
8207,ხელის ინსტრუმენტების საცვლელი ინსტრუმენტები
8208,დანები მექანიკური სამარჯვებისთვის
8209,ფირფიტები ლითონკერამიკისგან
8210,მექანიკური ხელსაწყოები 10კგ-მდე
8211,მჭრელი დანები
8212,სამართებლები
8213,თერძის მაკრატლები და მსგავსი
8214,მჭრელი ნაწარმი 
8215,სამზარეულო და სასადილო ნაკეთობები
8301,არაძვირფასი ლითონის საკეტები 
8302,არაძვირფასი ლითონის არმატურა 
8303,სეიფები
8304,არაძვირფასი ლითონის დოსიეს კარადები 
8305,ფურნიტურა
8306,არაძვირფასი ლითონების არაელექტრული ნაწარმი 
8307,არაძვირფასი ლითონების მილები 
8308,არაძვირფასი ლითონების შესაკრავები 
8309,საცობები და სახურავები
8310,მაჩვენებლიანი ფირნიშები
8311,არაძვირფასი ლითონების მავთული
8401,ბირთვული რეაქტორი
8402,ორთქლის ქვაბები
8403,გათბობის ქვაბები
8404,გათბობის ქვაბის დამხმარე მოწყობილობები
8405,აირგენატორები
8406,ორთქლზე ტურბინები 
8407,ნაპერწკლოვანი შიგაწვის ძრავები 
8408,აალებადი შიგაწვის ძრავები
8409,შიგაწვის ძრავების ნაწილები
8410,ჰიდროტურბინები
8411,აირის ტურბინები 
8412,ძრავები
8413,სითხის საწეველები 
8414,საჰაერო ან ვაკუუმიანი ტუმბოები
8415,მოწყობილობები ჰაერის კონდენცირებისათვის
8416,სანთურები
8417,ღუმელები და კამერები 
8418,"მაცივრები, საყინულეები"
8419,მანქანები ტემპერატურით მასალების დასამუშავებლად
8420,კალანდრები
8421,ცენტრიფუგენი
8422,ჭურჭლის სარეცხი მანქანები
8423,საქონლის ასაწონი
8424,გასაფრქვევი მოწყობილობები
8425,ამწეები
8426,გემის ამწეები
8427,ავტოსატვირთელები
8428, მოწყობილობები აწევის
8429,"ბულდოზერები, ავტოგრეიდერები"
8430,მანქანები ამოთხრისთვის ან გაბურღვისთვის
8431,მანქანების და მოწყობილობების ნაწილები
8432,სასოფლო-სამეურნეო მანქანები 
8433,კულტურების ასაღები ან სალეწი მანქანები 
8434,საწველი მოწყობილობები
8435,სასმელის საწარმო მანქანები
8436,მებაღეობის მოწყობილობები
8437,თესლის მანქანები 
8438,საკვებ-სასმელის საწარმოო დანადგარები
8439,მასის წარმოების დანადგარები
8440,საამკინძაო მოწყობილობები
8441,ქაღალდის ნაწარმის დანადგარები
8442,შრიფტის აპარატურა
8443,მოწყობილობა საბეჭდი
8444,ხელოვნური საფეიქრო მასალების ექსტრუდირების მანქანები 
8445,მანქანები საფეიქრო ბოჭკოებისთვის
8446,საქსოვი დაზგები
8447,ტრიკოტაჟული მანქანები
8448,საბეჭდი მრეწველობის დამხამრეები
8449,ქეჩის და ფეტრის მოწყობილობები
8450,სარეცხი მანქანები
8451,საფეიქრო ნართის გასარეცხი და საშრობი მოწყობილობები
8452,საკერავი მანქანები 
8453,ტყავის მომზადების მოწყობილობები 
8454,სამსხმელო მანქანები
8455,დგანები საგლინი და გლინები მათთვის
8456,მასალების დასამუშავებელი ჩარხები
8457,ლითონის დასამუშავებელი ჩარხები
8458,ლითონმჭრელი
8459,ლითონმჭრელი ჩარხები 
8460,"სალესი, სახეხი ჩარხები"
8461,ლითონების საჭრელი ჩარხები 
8462,ლითონების დასამუშავებელი მანქანები 
8463,ლითონების ჩარხები
8464,ცივი დამუშავების ჩარხები
8465,მყარი მასალის დასამუშავებებელი ჩარხები
8466,ჩარხების ნაწილები და სამარჯვები
8467,ხელის პნევმატური ინსტრუმენტი
8468,მისარჩილი აპარატურა
8469,საბეჭდი მანქანები
8470,"კალკულატორები, საკასო აპარატები"
8471,გამომთვლელი მანქანები
8472,საოფისე მოწყობილობები
8473,გამომთვლელი მანქანების ნაწილები
8474,მინერალური წიაღისეულის მოწყობილობები
8475,ნათურების ასაწყობი მანქანები
8476,ავტომატები
8477,რეზინის ან პლასტმასის დასამუშავებელი მოწყობილობები
8478,თამბაქოს დასამზადებელი მოწყობილობები
8479,სპეც. დანიშნულების მანქანები
8480,ყალიბები და ბოყვები
8481,ონკანები და სარქველები
8482,საკისრები
8483,ტრანსმისიური და მრუდმხარები ლილვები
8484,ფურცლოვანი ლითონის შუასადებები
8486,ინტეგრალური სქემების აპარატურა
8487,უიზოლატორო დანადგარის ნაწილები
8501,ელექტრული გენერატორები
8502,ელექტრო გარდამქმნელები
8503,ელექტრო გარდამქმნელების ნაწილები
8504,ელექტრული ტრანსფორმატორები 
8505,ელექტრომაგნიტები
8506,ელემენტები და ბატარეები
8507,ელექტრული აკუმულატორები
8508,მტვერსასრუტები
8509,მანქანები ელექტრომექანიკური საყოფაცხოვრებო
8510,თმის საკრეჭი მანქანები
8511,ელექტრომოწყობილობები შიგაწვის ძრავებისთვის
8512,ელექტროგამანათებელი ან სასიგნალიზაციო ნიწყიბილობები
8513,პორტატიული ელექტრული ფარნები
8514,ღუმელები და კამერები
8515,ელექტრული შესადუღებლები
8516,ელექტრული წყალგამახურებლები
8517,სატელეფონო აპარატები
8518,მიკროფონები
8519,ბგერათჩამწერი აპარატურა
8521,აპარატურა ვიდეოჩამწერი ან ვიდეოაღმწარმოებელი
8522,ნაწილები ვიდეოაპარატურის ან მსგავსების
8523,მატარებლები მზა
8525,რადიოსატელეფონო აპარატურა 
8526,დისტანციური მართვის აპარატურა
8527,რადიოსატელეფონო ან რადიოსამაუწყებლო აპარატურა
8528,სატელევიზიო კავშირის აპარატურა
8529,ტელე-რადიო აპარატურის ნაწილები
8530, სიგნალიზაციის მოწყობილობები
8531,სასიგნალო ხმოვანი ელექტრომოწყობილობები
8532,მუდმივი ელექტრული კონდენსატორები 
8533, ელექტრული რეზისტორები
8534,ნაბეჭდი სქემები
8535,აპარატურა ელექტრული წრედების კომუტაციისათვის
8536,აპარატურა 1000 ვ > ძაბვის წრედების კომუტაციის
8537,"პულტები  პანელები, კონსოლები, მაგიდები"
8538,ნაწილები  ელექტრო აპარატურისათვის
8539,ელექტრული ვარვარის ნათურები 
8540,ნათურები და მილაკები თერმოკათოდით
8541,ნახევარგამტარი ხელსაწყოები
8542,სქემები
8543,აპარატურა ინდივიდუალური ფუნქციებით
8544,კაბელები
8545,ნახშირის ელექტროდები და მუსები
8546,ელექტრული იზოლატორები
8547,საიზოლაციო არმატურა ელექტრული მანქანებისათვის
8548,ელემენტების და ბატარეების ნარჩენები
8601,ლოკომოტივები
8602,ტენდერები
8603,ვაგონები
8604,სატრანსპორტო საშუალებები ლიანდაგებისთვის
8605,არათვითმავალი სამგზავრო ვაგონები
8606,არათვითმავალი სატვირთო ვაგონები
8607,ლოკომოტივის ნაწილები
8608,მოწყობილობები ლიანდაგებისთვის
8609,კონტეინერები
8701,ტრაქტორები
8702,ავტომობილები 10 კაცზე მეტის გადასაყვანად
8703,მსუბუქი ავტომობილები
8704,სატვირთო ავტომობილები
8705,სპეც. ავტომობილები
8706,შასი სატვირთო და სპეც. ავტომობილებისთვის
8707,ავტომობილების ძარები
8708,ავტონაწილები
8709,სატრანსპორტო საშუალებები
8710,სხვა პროდუქცია
8711,ველოსიპედები და მოტოციკლები
8712,ველოსიპედები
8713,ინვალიდთა ეტლები
8714,ველოსიპედების და მოტოციკლების ნაწილები
8715,საბავშვო ეტლები
8716,"მისაბმელები, ნახევრადმისაბმელები და ნაწილები"
8801,აეროსტატები და დირიჟაბლები
8802,საფრენი აპარატები სხვა
8803,საფრენი აპარატების ნაწილები
8804,პარაშუტები და როტოშუტები
8805,საფრენი აპარატების მოწყობილობები
8807,საფრენი აპარატების ნაწილები
8901,"გემები საკრუიზო, ბორნები და მსგავსები"
8902,გემები თევზსაჭერი და მსგავსი
8903,იახტები
8904,ბუქსირები და გემები
8905,"შუქურები მოცურავე, გემები სახანძრო, მიწის ჭურვები "
8906,გემები სხვა
8907,სხვა მოცურავე საშუალებები
8908,გემები და სხვა მოცურავე საშუალებები
9001,ოპტიკური ბოჭკოები
9002,ოპტიკური ელემენტები
9003,ბუდეები და არმატურები სათვალეებისათვის
9004,სათვალეები
9005,ოპტიკური ხელსაწყოები
9006,ფოტოგასანათებლები
9007,კინოაპარატები
9008,პროექტორები
9010,კინოლაბორატორიების აპარატურა
9011,რთული მიკროსკოპები
9012,მიკროსკოპები
9013,მოწყობილობები თხევად კრისტალებზე
9014,სანავიგაციო ხელსაწყოები
9015,ხელსაწყოები ტოპოგრაფიული და მეტეოროლოგიური
9016,სასწორები
9017,ინსტრუმენტები მათემატიკური
9018,სამედიცინო ხელსაწყოები
9019,აპარატურა მექანოთერაპიის
9020,სასუნთქი აპარატურა
9021,ორთოპედიული სამარჯვები
9022,რენტგენული აპარატურა 
9023,სადემონსტრაციო ხელსაწყოები
9024,მასალების სიმაგრის გამოსაცდელი ხელსაწყოები
9025,არეომეტრები და ანალოგიური ხელსაწყოები
9026,სითხის ან აირის ხარჯის საზომი ხელსაწყოები
9027,ფიზიკური ან ქიმიური ანალიზის ხელსაწყოები და აპარატურა
9028,"აირის, სითხის ან ელექტროენერგიის მრიცხველები"
9029,"მრიცხველები, ტაქსომეტრები, ბიჯმზომები"
9030,ოსცილოსკოპები
9031,საზომი ან საკონტროლო ხელსაწყოები
9032,ავტომატური რეგულირების ხელსაწყოები
9033,აპარატურის ნაწილები და საკუთნოები
9101,ძვირფასი ლითონის საათები
9102,მაჯის და ჯიბის საათები
9103,საათები არათანსატარებელი
9104,საათები ხელსაწყოებზე
9105,სხვა საათები 
9106,დროის სარეგისტრაციო აპარატურა
9107,დროის გადამრთველები
9108,საათის მექანიზმები საათებისთვის
9109,დაკომპლექტებული საათის მექანიზმები
9110,აუწყობელი საათის მექანიზმები
9111,მაჯის და ჯიბის საათის კორპუსები
9112,არათანსატარებელი საათის კორპუსები
9113,ბრასლეტები საათებისთვის
9114,საათების ნაწილები
9201,ფორტეპიანოები და კლავიშიანი ინსტრუმეტნები
9202,სიმებიანი ინსტრუმენტები
9205,მუსიკალური სასულე ინსტრუმენტები
9206,მუსიკალური დასარტყამი ინსტრუმეტნები
9207,მუსიკალური ხმის ჩამწერები
9208,მუსიკალური ზარდახშები და სხვა
9209,მუსიკალური ინსტრუმენტების ნაწილები
9301,შერეული საქონელი
9302,შერეული საქონელი
9303,შერეული საქონელი
9304,შერეული საქონელი
9305,შერეული საქონელი
9306,შერეული საქონელი
9307,ხმლები და ანალოგიური იარაღი
9401,დასაჯდომი ავეჯი
9402,სამედიცინო 
9403,ავეჯი სხვა
9404,ლეიბის საფუძვლები
9405,ნათურები
9406,სამშენებლო კონსტრუქციები 
9503,შემცირებული ზომის სათამაშო მოდელები
9504,საქონელი ატრაქციონებისათვის
9505,კარნავალის ნაწარმი
9506,ფიზკულტურული იარაღი და ინვენტარი
9507,თევზჭერის ან ნადირობის საკუთნოები
9508,ატრაქციონები
9601,დამუშავებული სპილოს ძვალი
9602,სანაკეთო ჭრის მასალები
9603,ცოცხები და ჯაგრისები
9604,ხელის საცრები და ცხრილები
9605,"პირადი ჰიგიენის, კერვის ნაკრებები"
9606,"ღილები, კნოპები, საკინძები"
9607,შესაკრავი ელვა
9608,კალმები
9609,ფანქრები და ცარცები
9610,გრიფელის დაფები
9611,"შტემპელები დათარიღების, დაბეჭდვისათვის"
9612,მანქანების ლენტები საბეჭდი
9613,სანთებელები
9614,მოსაწევი საშუალებები
9615,თმის სავარცხლები
9616,არომატული აეროზოლები
9617,თერმოსები
9618,მანეკენები
9619,სანიტარულ-ჰიგიენური საფენები
9701,სურათები და ნახატები
9702,"დედნები გრავიურების, ესტამპების და ლითოგრაფიების"
9703,ქანდაკებების დედნები
9704,საფოსტო ან საბაჟო მარკები
9705,საკოლექციო ნივთები
9706,ანტიკვარიატი 100+ წლის
9801,ნახმარი ავტომანქანის ნაწილები
9802,მეორადი რბილი სათამაშოები
9803,მეორადი ტყავის ნაწარმი
9804,მეორადი რბილი ავეჯის ნაკრები
9805,ნაჭრები და ქსოვილები
9905,პირადი ნივთები
7700,შერეული საქონელი
